"order_id","order_status","distance_to_customer","distance_rider_from_store","delivery_service_level","rider_arrived_at_pickup_time","order_ready_for_pickup_time","order_pickup_done_time","order_delivered_time"
2279136,20,6.91,4.38,3,2024-12-14 13:03:25.630 +0800,2024-12-14 12:17:35.896 +0800,2024-12-14 13:03:27.796 +0800,2024-12-14 13:28:29.707 +0800
2279138,20,8.46,3.59,2,2024-12-14 10:12:01.911 +0800,2024-12-14 09:16:58.235 +0800,2024-12-14 10:12:05.547 +0800,2024-12-14 10:34:11.302 +0800
2279140,20,2.02,1.19,3,2024-12-14 14:48:15.087 +0800,2024-12-14 11:37:55.741 +0800,2024-12-14 14:48:16.276 +0800,2024-12-14 15:04:00.288 +0800
2279141,20,17.24,5.77,2,2024-12-14 10:49:41.536 +0800,2024-12-14 11:38:29.610 +0800,2024-12-14 12:01:06.002 +0800,2024-12-14 12:30:18.668 +0800
2279143,30,4.1,2.12,,2024-12-14 11:46:18.681 +0800,,,
2279144,20,2.54,0.59,2,2024-12-14 10:30:43.444 +0800,2024-12-14 10:44:31.384 +0800,2024-12-14 10:59:54.785 +0800,2024-12-14 11:08:05.870 +0800
2279145,20,5.3,4.0,2,2024-12-14 11:00:54.530 +0800,2024-12-14 09:38:05.571 +0800,2024-12-14 11:00:55.934 +0800,2024-12-14 11:26:34.410 +0800
2279146,20,10.24,6.17,2,2024-12-14 11:02:05.309 +0800,2024-12-14 09:58:46.278 +0800,2024-12-14 11:02:07.450 +0800,2024-12-14 11:38:42.975 +0800
2279150,20,6.34,3.83,2,2024-12-14 11:03:46.708 +0800,2024-12-14 10:25:04.656 +0800,2024-12-14 11:03:47.788 +0800,2024-12-14 11:31:38.134 +0800
2279151,20,6.86,3.33,2,2024-12-14 11:31:43.106 +0800,2024-12-14 10:19:44.442 +0800,2024-12-14 11:31:44.475 +0800,2024-12-14 11:58:59.073 +0800
2279153,20,11.2,1.95,2,,2024-12-14 10:40:01.421 +0800,2024-12-14 12:31:51.869 +0800,2024-12-14 12:57:06.011 +0800
2279154,20,5.67,3.4,3,2024-12-14 11:31:00.940 +0800,2024-12-14 10:20:21.499 +0800,2024-12-14 11:31:02.692 +0800,2024-12-14 12:12:26.338 +0800
2279156,20,3.77,3.0,2,2024-12-14 11:59:29.692 +0800,2024-12-14 11:52:01.394 +0800,2024-12-14 11:59:31.159 +0800,2024-12-14 12:28:55.073 +0800
2279157,20,12.02,7.95,3,2024-12-14 11:39:34.588 +0800,2024-12-14 10:56:15.665 +0800,2024-12-14 11:39:35.554 +0800,2024-12-14 12:44:18.886 +0800
2279158,20,2.99,0.78,2,2024-12-14 11:27:18.056 +0800,2024-12-14 11:16:04.878 +0800,2024-12-14 11:27:23.934 +0800,2024-12-14 11:42:51.858 +0800
2279159,30,4.3,2.03,,,,,
2279160,20,7.0,4.4,2,2024-12-14 09:52:45.206 +0800,2024-12-14 09:30:50.921 +0800,2024-12-14 09:52:46.513 +0800,2024-12-14 10:20:11.763 +0800
2279161,20,3.76,2.74,2,,2024-12-14 11:50:54.800 +0800,2024-12-14 12:32:32.993 +0800,2024-12-14 14:10:49.147 +0800
2279162,20,1.61,1.07,3,2024-12-14 13:35:28.121 +0800,2024-12-14 11:45:20.925 +0800,2024-12-14 13:35:29.266 +0800,2024-12-14 13:50:34.023 +0800
2279163,20,2.21,1.28,2,2024-12-14 10:21:48.350 +0800,2024-12-14 10:18:54.823 +0800,2024-12-14 10:21:50.807 +0800,2024-12-14 10:28:04.319 +0800
2279164,20,6.28,3.78,3,2024-12-14 14:09:37.518 +0800,2024-12-14 13:30:59.792 +0800,2024-12-14 14:09:59.519 +0800,2024-12-14 14:28:12.637 +0800
2279165,20,6.82,4.71,2,2024-12-14 09:41:42.434 +0800,2024-12-14 09:27:56.981 +0800,2024-12-14 09:41:43.549 +0800,2024-12-14 10:29:33.295 +0800
2279166,20,13.72,6.47,2,2024-12-14 12:35:22.964 +0800,2024-12-14 12:34:59.506 +0800,2024-12-14 12:35:23.915 +0800,2024-12-14 13:21:55.466 +0800
2279167,20,1.69,0.39,2,2024-12-14 09:46:29.495 +0800,2024-12-14 10:09:21.520 +0800,2024-12-14 10:24:43.748 +0800,2024-12-14 10:36:02.255 +0800
2279169,20,6.21,3.94,3,2024-12-14 13:21:46.855 +0800,2024-12-14 10:21:08.688 +0800,2024-12-14 13:21:48.575 +0800,2024-12-14 14:01:16.367 +0800
2279170,20,9.03,6.11,2,,2024-12-14 10:16:23.276 +0800,2024-12-14 10:52:06.315 +0800,2024-12-14 13:26:11.335 +0800
